parcel_id,hub_id,date,origin_zone,destination_zone,service_type,seller_type,parcel_size_band,parcel_weight_band,promised_delivery_days,actual_delivery_days,delivery_outcome,failure_reason,attempt_count,is_redelivery,was_late,customer_contact_made,priority_flag,peak_day_flag
P0000001,HUB_A_NORTH,2026-04-01,South,Metro,economy,marketplace,S,1-3kg,3,3,delivered_on_time,,1,FALSE,FALSE,TRUE,FALSE,FALSE
P0000002,HUB_A_NORTH,2026-04-01,South,North,standard,enterprise,L,1-3kg,2,3,delivered_late,,1,FALSE,TRUE,FALSE,FALSE,FALSE
P0000003,HUB_A_NORTH,2026-04-01,East,Metro,standard,enterprise,S,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000004,HUB_A_NORTH,2026-04-01,Metro,Metro,standard,direct_seller,M,3-5kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000005,HUB_A_NORTH,2026-04-01,South,River,standard,marketplace,S,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000006,HUB_A_NORTH,2026-04-01,East,Metro,economy,enterprise,L,1-3kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000007,HUB_A_NORTH,2026-04-01,Metro,South,express,enterprise,L,5-10kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000008,HUB_A_NORTH,2026-04-01,North,Metro,express,marketplace,M,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000009,HUB_A_NORTH,2026-04-01,North,East,standard,marketplace,M,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000010,HUB_A_NORTH,2026-04-01,West,Metro,economy,small_business,S,0-1kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000011,HUB_A_NORTH,2026-04-01,East,West,standard,small_business,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000012,HUB_A_NORTH,2026-04-01,North,Metro,express,direct_seller,XL,1-3kg,1,1,failed,hub backlog,1,FALSE,FALSE,TRUE,TRUE,FALSE
P0000013,HUB_A_NORTH,2026-04-01,Metro,Metro,express,marketplace,M,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000014,HUB_A_NORTH,2026-04-01,West,Remote,economy,small_business,S,1-3kg,3,4,failed,routing delay,3,TRUE,FALSE,TRUE,FALSE,FALSE
P0000015,HUB_A_NORTH,2026-04-01,North,Metro,standard,small_business,S,5-10kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000016,HUB_A_NORTH,2026-04-01,West,Metro,standard,small_business,M,10kg+,2,2,failed,routing delay,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000017,HUB_A_NORTH,2026-04-01,West,North,standard,small_business,M,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000018,HUB_A_NORTH,2026-04-01,River,Metro,express,marketplace,S,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000019,HUB_A_NORTH,2026-04-01,Metro,West,economy,enterprise,M,0-1kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000020,HUB_A_NORTH,2026-04-01,River,Metro,express,marketplace,M,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000021,HUB_A_NORTH,2026-04-01,Metro,East,standard,marketplace,M,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,TRUE,FALSE,FALSE
P0000022,HUB_A_NORTH,2026-04-01,West,River,economy,small_business,S,1-3kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000023,HUB_A_NORTH,2026-04-01,South,South,standard,direct_seller,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000024,HUB_A_NORTH,2026-04-01,South,South,standard,direct_seller,M,1-3kg,2,2,failed,rider capacity,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000025,HUB_A_NORTH,2026-04-01,East,East,standard,marketplace,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000026,HUB_A_NORTH,2026-04-01,River,River,economy,marketplace,XS,3-5kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000027,HUB_A_NORTH,2026-04-01,South,East,standard,marketplace,M,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000028,HUB_A_NORTH,2026-04-01,East,River,express,direct_seller,L,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000029,HUB_A_NORTH,2026-04-01,South,Remote,standard,enterprise,M,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000030,HUB_A_NORTH,2026-04-01,Metro,Remote,express,direct_seller,M,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000031,HUB_A_NORTH,2026-04-01,North,River,standard,small_business,S,3-5kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000032,HUB_A_NORTH,2026-04-01,North,East,express,marketplace,M,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000033,HUB_A_NORTH,2026-04-01,South,Metro,standard,marketplace,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000034,HUB_A_NORTH,2026-04-01,North,Remote,economy,direct_seller,S,10kg+,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000035,HUB_A_NORTH,2026-04-01,South,Remote,standard,marketplace,S,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000036,HUB_A_NORTH,2026-04-01,North,East,standard,enterprise,XS,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000037,HUB_A_NORTH,2026-04-01,North,East,express,marketplace,M,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000038,HUB_A_NORTH,2026-04-01,South,Metro,standard,marketplace,XS,5-10kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000039,HUB_A_NORTH,2026-04-01,West,Metro,express,marketplace,XS,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000040,HUB_A_NORTH,2026-04-01,North,Metro,express,marketplace,L,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000041,HUB_A_NORTH,2026-04-01,South,South,standard,marketplace,S,3-5kg,2,3,failed,rider capacity,3,TRUE,FALSE,TRUE,FALSE,FALSE
P0000042,HUB_A_NORTH,2026-04-01,South,West,standard,marketplace,S,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000043,HUB_A_NORTH,2026-04-01,West,East,standard,direct_seller,M,0-1kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000044,HUB_A_NORTH,2026-04-01,West,Metro,standard,marketplace,M,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000045,HUB_A_NORTH,2026-04-01,Metro,Remote,express,direct_seller,M,3-5kg,1,1,failed,customer not available,2,TRUE,FALSE,TRUE,TRUE,FALSE
P0000046,HUB_A_NORTH,2026-04-02,West,North,express,marketplace,S,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000047,HUB_A_NORTH,2026-04-02,East,Metro,standard,direct_seller,S,5-10kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000048,HUB_A_NORTH,2026-04-02,South,Remote,express,small_business,M,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000049,HUB_A_NORTH,2026-04-02,West,Metro,standard,marketplace,M,5-10kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000050,HUB_A_NORTH,2026-04-02,River,River,standard,direct_seller,XL,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000051,HUB_A_NORTH,2026-04-02,South,West,economy,direct_seller,L,1-3kg,3,3,delivered_on_time,,3,TRUE,FALSE,TRUE,FALSE,FALSE
P0000052,HUB_A_NORTH,2026-04-02,River,River,standard,marketplace,L,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000053,HUB_A_NORTH,2026-04-02,Metro,South,standard,marketplace,S,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000054,HUB_A_NORTH,2026-04-02,River,North,standard,marketplace,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000055,HUB_A_NORTH,2026-04-02,River,River,standard,direct_seller,XL,5-10kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000056,HUB_A_NORTH,2026-04-02,East,East,standard,small_business,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000057,HUB_A_NORTH,2026-04-02,River,Metro,economy,small_business,M,1-3kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000058,HUB_A_NORTH,2026-04-02,Metro,West,standard,marketplace,S,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,TRUE,FALSE,FALSE
